Students Comment,Keywords,Topic,Sentiment
Melody strength: easy-to-read interface,usability,melody usage,Positive
"Melody strength: maps, charts, textbox feature",visualisations,melody usage,Positive
"Melody strength: maps, charts, textbox feature",visualisations,communication,Positive
Melody strength: Possibility to link pages to our Melody data story ,embedding,melody usage,Positive
Melody challenge: Sometimes Melody wouldn't save and publish changes,bug,melody usage,Negative
Melody challenge: Melody might be lacking a timeline feature,suggestion,melody usage,Neutral
find right data,data accuracy,data sources,Negative
melody bugs,bug,melody usage,Negative
"This project was completely different from anything we had ever done before, but it was a nice way to learn more about music, data and technology.",learning,general,Positive
We also faced a lot of challenges with the Polifonia Corpus once we could not find enough data. The lack of data on the tools provided was so much so that we decided to change our theme.,data availability,data sources,Negative
"We were not familiar with the tools, and we struggled to understand how they worked.",learning curve,general,Negative
Creating the Melody story was difficult. It took many hours so we could understand how it worked.,learning curve,melody usage,Negative
"The first challenge we had to face was the display of the images on Melody, since we got the IRI of the resource from DBpedia but not the depiction itself. In the first place, we tried to change the property from dbo:thumbnail to foaf:depiction, but in this way, we could see the images but there were multiple for each resource.",SPARQL,data sources,Negative
"even if we used the operator DISTINCT, we got multiple results for each resource",SPARQL,data sources,Negative
"sometimes Melody was not working properly, so we had to stop and wait until it worked again or we tried several times to upload the changes before getting the result we wanted.",bug,melody usage,Negative
in the end we are satisfied with the outcome of the project.,learning,general,Positive
"MELODY. This dashboarding system allowed us to process and transform the retrieved information into meaningful and interactive charts. These are crucial in enhancing readers’ understanding of the subject at hand, providing an easy-to-read visual representation of complex and multifaceted trends.",visualisations,melody usage,Positive
"MELODY. This dashboarding system allowed us to process and transform the retrieved information into meaningful and interactive charts. These are crucial in enhancing readers’ understanding of the subject at hand, providing an easy-to-read visual representation of complex and multifaceted trends.",visualisations,communication,Positive
"by adding a storytelling element to our data story, these data visualisation tools make the latter more engaging and memorable.","storytelling, visualization tools",communication,Positive
"Particularly in the earlier stages of data collection, most challenges encountered stemmed from our initial unfamiliarity with the tools, and from our uncertainty about what kind of information was available to us and how it was organised within the Wikidata knowledge graph.","learning curve, data availability",data sources,Negative
"We had to come to terms with entities lacking crucial information; in some instances, the data retrieved was either not up-to-date or even unreliable",data availability,data sources,Negative
"Challenges with data in the long run, they pushed us to detach ourselves from the query models used in class and to adopt a creative problem-solving mindset, which turned out to be pivotal in the process of query writing.",data availability,data sources,Positive
"Broadly speaking, the more time we spent familiarising ourselves with our tools, the easier it got to face all manner of challenges, and to create an engaging data story.",learning curve,general,Positive
The use of data visualization played a central role not just in presenting the project's discoveries but also in enabling us to examine deeper into comprehending the data.,"visualisations, data analysis, learning",communication,Positive
"MELODY facilitated our creation of tables, charts, and graphs, all aimed at showing the progression of indie rock music, particularly in the analysis of the musical contributions made by two iconic bands.",visualisations,communication,Positive
lack of data or insufficient,data availability,data sources,Negative
"It took us some time to become familiar with SPARQL queries and Melody, but we are pleased with the results of our data story","learning curve, SPARQL familiarity,",general,Positive
the utilization of MELODY was invaluable in discovering insights and crafting a captivating story that effectively represents the evolution of indie rock music and its unforgettable bands.,"learning, storytelling",melody usage,Positive
"visualisations, data presentation","learning, storytelling",communication,Positive
"After getting our queries, we uploaded them on Melody and had a visual representation of the queries through the use of tables, linecharts, doughnutcharts, maps and counters. These tools were crucial in achieving our goal: getting people to know better a band that has been able to break down every barrier, coming straight to the heart.",visualisations,melody usage,Positive
we had to change the object of our queries many times due to the lack of data available on Wikidata,data availability,data sources,Negative
"although we could retrieve results from Wikidata Query Service, these would either not work on Melody or seem unreliable and not up to date",bug,data sources,Negative
"Melody is rather slow at publishing stories and updating the order of the content. On top of that, it did not always save the edits made, and this forced us to do them all over again.",bug,melody usage,Negative
"Overall, facing those challenges was rather useful, as we had the chance to put into practice the informatics skills acquired throughout the course and come up with engaging stories about some of the bands we love the most.",learning curve,general,Positive
the lack of data on Wikidata forced us to change the object of our queries various times.,data availability,data sources,Negative
"when results were obtained, sometimes they would look rather doubtful",data availability,data sources,Negative
"despite following the query model to obtain a chart given during the course and the well-functioning of the query, Melody would not showcase any graphic",bug,melody usage,Negative
"Another great challenge was given by Melody not registering some of our edits to the story, which made us do them all over again.",bug,melody usage,Negative
"facing these challenges was rather useful, as we could employ the competences acquired through practice to try overcoming them as well as learning from our mistakes.","learning curve, skill development",general,Positive
"Data visualization played a crucial role not only in presenting the findings of the project, but it also helped us gaining a deeper understanding of the data.","visualisations, visualisations",communication,Positive
"Ensuring data consistency and completeness proved to be a significant problem while working with Wikidata. Some entities may have in fact limited or incomplete information, making it difficult to provide a complete analysis or narrative for these specific entities:",data availability,data sources,Negative
"As far as MELODY is concerned, we often found ourselves with the data we needed, but had some trouble organising it according to MELODY's specific syntactic structures.",usability,melody usage,Negative
"Familiarizing ourselves with SPARQL queries and Melody required some time, but we are satisfied with the outcome of our data story.","learning curve, SPARQL, skill development",data sources,Positive
"Familiarizing ourselves with SPARQL queries and Melody required some time, but we are satisfied with the outcome of our data story.","learning curve, usability, skill development",melody usage,Positive
the use of MELODY proved invaluable in uncovering insights and creating an engaging story that captures the essence of rock music’s evolution.,storytelling,communication,Positive
The material found in this field often proved insufficient for the creation of a comprehensive story on such a specific aspect as the history of the guitar.,data availability,data sources,Negative
"this project served also to broaden our horizons, since we continuously changed the structure of our queries, in order to retrieve always different and interesting information.","learning curve, skill development",data sources,Positive
"MELODY proved to be crucial to put into play our creativity, since it encompassed the creation of charts and tables that could have been a pleasing view for our readers.","visualisations, storytelling",communication,Positive
"We also tried to empathise with our users, so as to make available material that was useful to them. This once again stimulated our creativity. ",creativity,communication,Positive
The graphical representation was in fact an important starting point that helped us to give structure and linearity to the article and subsequently also to the website.,visualisations,melody usage,Positive
"at the beginning we thought of realising a story about the indie pop genre in Italy, but the poorness of material on Wikidata led us to change course.",data availability,data sources,Negative
"when we finally built our complete story and tried to publish it, Melody often didn’t display some important parts, such as the actions of the text-search (which, at the end, after different attempts, appeared) and the text-boxes containing explanatory captions about the infographics.",bug,melody usage,Negative
