Informazioni cronologiche,Your occupation,Your field of study/research,Your age,"From 1 to 5 (1 being not expert at all, 5 being extremely confident), how much experience do you have with SPARQL?","From 1 to 5 (1 being not expert at all, 5 being extremely confident), how well you know data visualizations (reasons for use, usefulness, functioning)",What was your first impression? Describe it with a single word,Navigating the website was easy ,The website structure was clear ,The access options were clear ,I was able to navigate the main pages without the user guide,"I understood the differences between the three main pages (catalogue, dashboard, documentation)",What dataset did you use? ,I was able to perform the task without the user guide,"How much thinking, deciding, or calculating was required to perform the task?",How much physical activity was required?,How much time pressure did you feel due to the pace at which the tasks or task elements occurred? ,How successful were you in accomplishing what you were asked to do?,How hard did you have to work (mentally and physically) to accomplish your level of performance?,"How irritated, stressed, and annoyed versus content, relaxed, and complacent did you feel during the task?",What dataset did you use? ,I was able to perform the task without the user guide,"How much thinking, deciding, or calculating was required to perform the task?",How much physical activity was required?,How much time pressure did you feel due to the pace at which the tasks or task elements occurred? ,How successful were you in accomplishing what you were asked to do?,How hard did you have to work (mentally and physically) to accomplish your level of performance?,"How irritated, stressed, and annoyed versus content, relaxed, and complacent did you feel during the task?", [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Result combine (Relations)], [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Combine actions (Relations)], [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Combine actions (Relations)], [Color picker], [Headings (Title & Subtitle)], [Introduction box], [Authors ], [Textbox ], [Counter ], [Linechart], [Barchart], [Doughnut chart], [Scatterplot], [Table], [Text search], [Delete option], [Reset option], [Save option], [Top/Down arrows (to arrange order)], [Result actions (Relations)], [Combine actions (Relations)],"Please, use the following text box to let us know what kind of issues you experienced. Your contribution is greatly appreciated. ",I think that I would like to use this dashboard frequently,I found the dashboard unnecessarily complex,I thought the dashboard was easy to use,I think that I would need the support of a technical person to be able to use this dashboard,I found the various functions in this dashboard were well integrated,I thought there was too much inconsistency in this dashboard,I would imagine that most people would learn to use this dashboard very quickly,I found the dashboard very cumbersome to use,I felt very confident using the dashboard,I needed to learn a lot of things before I could get going with this dashboard
19/05/2023 17.43.22,Post--graduate student,Languages & Linguistics,20-30,1,1,complex,3,4,3,3,3,I used one of the proposed dataset,4,3,1,1,4,3,3,I used one of the proposed dataset,3,4,2,2,3,3,3,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,,2,2,4,2,4,2,4,3,2,3
19/05/2023 17.43.31,Student,Languages & Linguistics,20-30,1,1,New,3,3,3,3,3,I used one of the proposed dataset,2,4,2,3,4,3,3,I used one of the proposed dataset,2,,2,3,4,3,3,Slightly useful,Moderately useful,Very useful,Very useful,Slightly useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Moderately useful,Extremely useful,Slightly useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Very useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Not at all complex,Slightly complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Slightly complex,Slightly consistent,Slightly consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Slightly consistent,Very consistent,Slightly consistent,Very consistent,Very consistent,Very consistent,Very consistent,Moderately consistent,Moderately consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,The charts sometimes have bugs and don't work properly (I pick the barchart and it shows me the linechart for instance),2,2,3,2,3,2,3,2,3,2
19/05/2023 17.43.38,Student,Languages & Linguistics,20-30,2,3,Aesthetic,3,3,4,2,3,I used one of the proposed dataset,3,4,2,4,4,4,3,I used one of the proposed dataset,3,4,2,4,3,3,3,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Very useful,Extremely useful,Very useful,Slightly useful,Very useful,Moderately useful,Moderately useful,Moderately useful,Not at all complex,Not at all complex,Slightly complex,Not at all complex,Not at all complex,Moderately complex,Very complex,Very complex,Very complex,Very complex,Moderately complex,Moderately complex,Not at all complex,Slightly complex,Not at all complex,Moderately complex,Very complex,Very complex,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Very consistent,Moderately consistent,Moderately consistent,Very consistent,Moderately consistent,Moderately consistent,Moderately consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Moderately aesthetically pleasing,Very aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Very aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,"I had problems in using the ""add action"" because the textsearch was not working well (graphically speaking) and then, after having saved everything I've done, I had some issues understanding if I succeded in publishing my story in a correct way and the ""modify your story"" was not working as well.",3,2,3,3,4,2,3,2,3,3
19/05/2023 17.44.56,Student,Languages & Linguistics,20-30,2,3,Positive,5,5,5,5,5,I used one of the proposed dataset,5,3,2,1,3,2,1,I used one of the proposed dataset,4,3,2,1,4,2,1,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Very aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,No issues,5,1,5,1,5,1,5,1,5,2
19/05/2023 17.46.07,Student,Languages & Linguistics,20-30,1,2,,3,3,4,4,3,I used one of the proposed dataset,2,4,3,3,2,4,4,I used one of the proposed dataset,1,4,1,3,2,2,4,Moderately useful,Very useful,Extremely useful,Extremely useful,Very useful,Very useful,Moderately useful,Moderately useful,Slightly useful,,,Extremely useful,,Very useful,Extremely useful,Moderately useful,Extremely useful,Extremely useful,Not at all complex,Slightly complex,Slightly complex,Slightly complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Moderately complex,Not at all complex,Slightly complex,Not at all complex,Not at all complex,Moderately complex,Moderately complex,Slightly consistent,Moderately consistent,Very consistent,Very consistent,Very consistent,Very consistent,Moderately consistent,,Moderately consistent,Slightly consistent,Moderately consistent,Very consistent,Very consistent,Very consistent,Very consistent,Moderately consistent,Moderately consistent,Moderately consistent,Very aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,,2,3,3,2,3,2,2,4,2,3
19/05/2023 17.47.24,Student,Languages & Linguistics,20-30,2,1,Interesting,4,4,3,4,3,I used one of the proposed dataset,4,4,1,4,3,4,4,I used one of the proposed dataset,4,4,1,4,4,4,3,Moderately useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Moderately consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Sometimes I find some errors and the programm is slow in my computer,3,2,4,3,5,2,4,3,4,4
19/05/2023 17.47.38,Student,Languages & Linguistics,20-30,3,2,Useful ,5,5,5,5,5,I used a dataset of my choice,5,2,1,1,4,2,2,I used one of the proposed dataset,5,1,1,1,4,1,1,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Moderately complex,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,"Yes, issues in visualization the pictures correctly (they were too big and i could not see all the columns in the textsearch > and so i didn't add the action) ",4,1,4,1,5,1,5,1,4,3
19/05/2023 17.48.11,Student,Languages & Linguistics,20-30,1,1,It is an interesting and stimulating activity,4,5,5,4,4,I used one of the proposed dataset,4,4,1,4,4,4,5,I used one of the proposed dataset,1,5,1,5,1,4,5,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all complex,,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Extremely complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Moderately consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Moderately consistent,Slightly consistent,Not at all consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,"The images (pic) did not always appear. Adding an action to a text search was not easy, since the pluses (+) did not always appear.",4,2,4,2,5,2,4,4,5,3
19/05/2023 17.48.33,PhD student,Languages & Linguistics,20-30,2,2,interesting ,3,4,4,2,4,I used one of the proposed dataset,3,3,2,4,3,3,3,I used one of the proposed dataset,3,3,2,4,3,3,3,Moderately useful,Very useful,Very useful,Very useful,Very useful,Very useful,Moderately useful,Very useful,Moderately useful,Moderately useful,Very useful,Moderately useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Moderately useful,Moderately useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sometimes the query was uncorrect ,3,3,3,4,3,2,3,3,2,3
19/05/2023 17.48.53,Post--graduate student,Languages & Linguistics,20-30,1,1,Useful,3,3,3,3,3,I used one of the proposed dataset,3,3,4,3,2,3,3,I used one of the proposed dataset,4,3,3,3,3,4,3,Moderately useful,Very useful,Extremely useful,Slightly useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Very useful,Moderately useful,Very useful,Slightly useful,Extremely useful,Extremely useful,Moderately useful,Moderately useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Moderately complex,Moderately complex,Moderately consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Extremely aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Several times it signaled that there was a problem with the query even if I had only copied and pasted it ,3,2,3,3,4,2,5,1,3,2
19/05/2023 17.51.14,Student,Languages & Linguistics,20-30,3,3,Interesting,3,4,4,4,4,I used one of the proposed dataset,4,4,3,3,4,4,3,I used one of the proposed dataset,3,4,3,3,4,4,3,Very useful,Very useful,Very useful,Very useful,Extremely useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Moderately aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,"I do not find very practical that when I click on ""Add something (chart, table, etc...), the page reloads and goes back to the title so I have to scroll down every time to reach the element I've just added. ",4,2,4,2,4,2,4,,1,1
19/05/2023 17.51.37,Post--graduate student,Languages & Linguistics,31-40,3,2,stylish,3,4,5,4,5,I used one of the proposed dataset,5,4,3,2,4,3,2,I used one of the proposed dataset,4,3,3,3,4,4,3,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Moderately useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very useful,Very useful,Very useful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I'd mention three things. First: while adding an action to the last column of the result of a text search, when I pressed ""+"", the last column was not visualised anymore as if it didn't fit into the screen. Second: when one opens a data story, there is no arrow to go back to the catalogue, which would be very comfortable in my opinion. After I published my data story, other students did the same and in the catalogue I didn't see my stories any more and didn't manage to find it.",4,1,5,4,4,2,2,3,4,3
19/05/2023 17.53.13,Post--graduate student,Languages & Linguistics,20-30,2,1,,3,2,4,3,2,I used one of the proposed dataset,1,3,2,3,3,3,1,I used one of the proposed dataset,1,3,3,3,3,3,1,Very useful,Moderately useful,Slightly useful,Not at all useful,Slightly useful,Slightly useful,Moderately useful,Moderately useful,Moderately useful,Slightly useful,Very useful,Not at all useful,Extremely useful,Moderately useful,Extremely useful,Not at all useful,Not at all useful,Not at all useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Moderately complex,Moderately complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Extremely complex,Extremely complex,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Moderately consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Moderately aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Not at all aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,,1,1,3,1,3,1,3,3,1,3
19/05/2023 17.53.55,Student,Languages & Linguistics,20-30,1,1,confusion,2,3,2,1,3,I used one of the proposed dataset,1,4,1,2,1,4,5,I used one of the proposed dataset,1,4,1,2,1,4,5,Slightly useful,Extremely useful,Very useful,Moderately useful,Very useful,Very useful,Slightly useful,Slightly useful,Slightly useful,Not at all useful,Moderately useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Moderately useful,Slightly useful,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Very complex,Very complex,Very complex,Moderately complex,Slightly complex,Moderately complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Very complex,Very complex,Slightly consistent,Extremely consistent,Extremely consistent,Moderately consistent,Very consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Slightly consistent,Moderately consistent,Moderately consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Very consistent,Very consistent,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Not at all aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,,1,4,1,1,3,2,2,3,1,2
19/05/2023 17.59.26,Student,Languages & Linguistics,20-30,3,1,confusing,3,4,3,4,3,I used one of the proposed dataset,2,3,3,3,2,3,4,I used one of the proposed dataset,2,3,3,3,2,3,4,Moderately useful,Very useful,Very useful,Moderately useful,Slightly useful,Very useful,Slightly useful,Slightly useful,Slightly useful,Slightly useful,Moderately useful,Moderately useful,Very useful,Very useful,Very useful,Very useful,Very useful,Moderately useful,Moderately complex,Slightly complex,Not at all complex,Not at all complex,Moderately complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Slightly complex,Moderately complex,Moderately complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Not at all complex,Slightly complex,Slightly consistent,Very consistent,Very consistent,Very consistent,Slightly consistent,Very consistent,Slightly consistent,Slightly consistent,Slightly consistent,Slightly consistent,Moderately consistent,Moderately consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Moderately consistent,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Slightly aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Moderately aesthetically pleasing,Slightly aesthetically pleasing,,2,2,2,2,3,2,3,2,2,3
19/05/2023 18.00.25,Student,Languages & Linguistics,20-30,2,3,Interesting,4,4,4,4,4,I used one of the proposed dataset,2,3,2,2,4,3,1,I used one of the proposed dataset,2,3,2,2,3,3,3,Moderately useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very complex,Very complex,Very complex,Very complex,Very complex,Very complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely complex,Extremely consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Very consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Extremely consistent,Very consistent,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Extremely aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,Very aesthetically pleasing,The website has cracked many times and it's taking too long to publish the story. I don't know if I have lost it and this could be worrying considering that we are going to do a project on Melody.,2,1,4,3,3,2,3,3,4,3
