Story ID,Alternation Score,Coherence Score,info_density_token,info_density_sentence,token_norm,sentence_norm,Information Density,Flesch Reading Ease,Normalized Readability,combined_normalized,corret_normalized,federated_bonus,normalized_sparql_feature_metric,diversity_metric,SPARQL Proficiency
lkuzAhad,0.8125,0.3907286822795868,0.3047739336563224,3.1373787288150834,0.8935389448203322,0.7087955688122067,0.782692919215457,51.38,0.2969216577739354,1.0,1.0,0.0,0.2394106813996315,0.108695652173913,0.2392425334294178
jamFJtUo,0.9,0.5150007605552673,0.313254268814005,2.8287809729264697,0.9184016672901064,0.639077265468622,0.7508070261972157,42.61,0.1494399976617643,0.91,0.9090909090909092,0.0,0.2410848819688598,0.1146245059288537,0.2331928460681763
gzeEqkGo,0.3,0.4162374436855316,0.2546306273796422,3.607267221211599,0.7465283509590089,0.8149526222108207,0.787582913710096,36.69,0.0885878899546425,1.0,1.0,0.0,0.4198895027624308,0.1217391304347826,0.3166514532788853
KzqVF2Z6,0.3529411764705882,0.3736467063426971,0.2612023321690877,3.509906338522116,0.7657953338429634,0.7929568836689158,0.7820922637385348,42.11,0.1431953701650835,0.94,0.9375,0.0,0.3011049723756905,0.1249999999999999,0.2641919889502762
Ww1HhAGH,1.0,0.3937855958938598,0.2611408241108365,3.020528865548676,0.7656150039676083,0.6823968861989597,0.7156841333064191,49.25,0.2544533858735973,0.62,0.625,1.0,1.0,0.233695652173913,0.6559782608695652
IuSofTQ_,0.5555555555555556,0.4247218370437622,0.2480630389205642,3.604210036081139,0.7272734363692454,0.8142619439533294,0.7794665409196958,44.85,0.1801989751980512,1.0,1.0,0.0,0.3732351135666051,0.1159420289855072,0.2956708570208449
TQjKggI7,1.0,0.3588790595531463,0.2894703165774007,3.2668792870878085,0.8486716633813167,0.7380522922735407,0.7823000407166512,31.82,0.0563592049350288,1.0,1.0,0.0,0.4198895027624308,0.0869565217391304,0.3027384098006244
Jzaeaf75,0.875,0.5122070908546448,0.2902473962529108,3.234185272532436,0.8509499125247608,0.7306660712761535,0.7787796077755964,39.26,0.1116496857048265,1.0,1.0,0.0,0.6806629834254141,0.1652173913043478,0.4383521498919047
SghkiaeU,0.3,0.4808414280414581,0.2380484876608034,3.872255399282402,0.6979126854082184,0.8748186641008738,0.8040562726238116,35.88,0.0822622016604872,1.0,1.0,0.0,0.4464088397790053,0.1478260869565217,0.3376939706942108
R2GpYpI5,0.9,0.4763712286949157,0.2842351250838063,3.229944603225072,0.8333230821329161,0.729708020663312,0.7711540452511536,34.76,0.0741927241132746,0.95,0.9090909090909092,0.0909090909090909,0.7714716223003512,0.1936758893280632,0.4860590046513658
l3RukqzW,0.6190476190476191,0.4371751248836517,0.2406285913291354,3.901620730836696,0.7054770564214172,0.8814528701312838,0.8110625446473372,32.16,0.0581949345799326,0.94,0.9444444444444444,0.0,0.3364027010435848,0.1062801932367149,0.2715176021565643
-QO5tO8t,1.0,0.3058245182037353,0.341086345953958,2.728690767631664,1.0,0.616464919262891,0.7698789515577347,51.89,0.3076774427071139,1.0,1.0,0.0,0.2651933701657457,0.0434782608695652,0.2234686524141243
N12KW_UW,1.0,0.4571444392204284,0.2960708584388074,3.0010818832660933,0.8680231910507874,0.678003430368439,0.7540113346413784,59.84,0.4960000853311488,0.75,0.625,0.0,0.624309392265193,0.2119565217391304,0.3970063656017293
8TaxJyd-,0.9,0.4250525236129761,0.2626331061132909,3.3174708140626223,0.769990089690494,0.7494819133804367,0.7576851839044596,31.21,0.0532014849851745,0.86,0.7142857142857143,0.0,0.9155485398579316,0.2546583850931677,0.5395113414090111
a-LzrTFa,0.8888888888888888,0.3880613446235657,0.2536012446706687,3.719484921836474,0.7435103975252689,0.8403048081661473,0.8015870439097958,56.63,0.4165383964897695,0.92,0.8333333333333335,0.0,0.4493554327808468,0.1376811594202898,0.318147970213788
mJpAWU1f,0.625,0.1269634664058685,0.301312018388157,2.485824151702295,0.8833892706711575,0.5615965734039366,0.690313652310825,54.42,0.3640103472970112,1.0,1.0,0.0,0.3229919252018698,0.1170568561872909,0.2760195125556643
GVfxLAss,0.4285714285714285,0.5196184515953064,0.2131841818398654,4.423571773177208,0.6250152911973862,0.9993718776613664,0.8496292430757744,23.29,0.024819329306401,0.81,0.75,0.0,0.4861878453038671,0.1739130434782608,0.3390403555128512
GENuDEXR,0.8571428571428571,0.5144317150115967,0.2285448020812314,4.037624836768422,0.670049695017935,0.9121788729371614,0.8153272017694708,34.49,0.072359333190024,1.0,1.0,0.0,0.5998421468034725,0.2049689440993788,0.4219244363611405
GghVmi8y,0.5,0.0,0.210778669704149,4.426352063787129,0.6179627892011874,1.0,0.8471851156804749,18.02,0.0148031714816854,1.0,1.0,0.0,0.6895027624309389,0.1478260869565217,0.4349315397549843
